Size_m2,Bedrooms,Bathrooms,Location,YearBuilt,Price
128.39,3,5,City,1979,171
244.24,5,4,Suburb,2011,150
242.01,8,1,City,1999,424
225.1,9,5,Suburb,2003,369
209.31,9,5,Suburb,1965,279
131.55,4,5,Suburb,2016,164
197.05,2,5,City,2017,112
202.25,12,1,City,1989,828
171.96,11,3,City,2011,737
214.14,6,3,City,1970,390
251.4,5,3,Suburb,2006,215
349.04,9,2,Suburb,1964,342
236.25,12,2,City,1962,648
241.73,7,2,City,1974,462
219.9,7,1,City,1961,490
98.48,6,1,City,1961,366
223.06,12,3,Suburb,2013,552
228.73,4,2,Suburb,2005,144
387.03,3,5,Suburb,2000,141
212.1,3,5,City,1989,153
244.61,14,5,City,2003,952
222.5,10,3,Suburb,1969,360
147.81,5,1,City,1989,255
300.08,8,1,City,2008,488
274.34,11,5,City,1994,715
276.85,3,5,Suburb,2024,150
164.9,3,5,City,1976,204
317.17,4,5,Suburb,1990,176
132.48,12,2,City,2011,804
263.47,2,4,City,1985,110
369.01,3,3,Suburb,1964,144
159.61,11,4,Suburb,1973,352
187.48,12,3,Suburb,2010,420
231.33,4,3,Suburb,1974,124
191.66,7,3,City,1971,357
122.72,11,3,City,2005,649
229.28,4,4,Suburb,2023,144
154.87,9,4,Suburb,2018,342
255.95,6,2,City,1985,300
164.25,14,5,City,1988,798
326.83,12,5,City,1963,828
173.17,6,2,Suburb,2009,276
203.55,10,5,Suburb,1984,350
278.34,6,4,City,1999,414
143.72,8,2,Suburb,1991,336
239.78,13,2,City,1996,663
310.85,4,5,Suburb,1969,136
118.92,4,5,Suburb,1997,156
236.9,5,2,City,2020,290
241.92,14,3,City,1986,980
276.29,14,5,Suburb,1966,532
143.35,9,1,City,1968,594
137.87,4,1,Suburb,2018,180
259.2,4,4,City,1995,264
244.33,4,2,City,1989,252
241.27,3,4,Suburb,1978,90
247.59,14,3,City,2000,812
180.05,4,4,Suburb,2014,196
240.06,4,3,Suburb,1965,120
244.06,7,2,Suburb,1981,259
177.72,2,2,Suburb,1983,64
347.64,10,1,City,2021,530
255.95,14,3,Suburb,2001,504
146.32,2,4,Suburb,1981,78
268.03,14,4,Suburb,1975,476
160.63,14,2,City,1972,966
276.57,7,1,Suburb,1996,294
301.1,10,3,Suburb,2011,390
170.76,6,4,City,1983,318
288.19,4,2,Suburb,1976,180
251.95,5,3,Suburb,1975,205
278.89,4,1,City,1960,216
349.69,9,5,Suburb,1960,387
208.66,13,2,Suburb,1989,468
175.12,5,3,City,1983,250
166.2,12,5,City,2005,696
171.03,14,1,City,1961,882
219.72,10,5,Suburb,1974,430
247.21,13,1,Suburb,1988,611
243.03,10,3,City,2021,540
279.27,4,4,Suburb,1972,200
225.66,3,3,City,2024,207
320.52,10,5,Suburb,2004,490
207.36,9,1,City,2006,459
403.94,8,2,City,1975,544
265.98,3,3,City,1962,174
168.34,11,5,Suburb,1964,352
154.31,2,1,City,1985,104
256.6,10,2,City,1974,670
210.05,7,5,Suburb,2014,301
271.83,2,5,City,1981,124
255.95,10,2,Suburb,1996,390
219.99,13,2,City,1988,754
168.99,3,5,City,1985,168
125.05,14,2,City,1970,938
195.38,11,5,City,1979,770
281.22,9,4,City,1992,522
238.85,5,2,City,1989,260
142.79,1,4,City,2009,64
236.16,13,5,Suburb,1993,611
250.19,5,2,City,1964,315
166.58,2,1,Suburb,1971,94
234.95,10,1,Suburb,2011,320
228.63,4,2,Suburb,2010,136
149.48,13,2,Suburb,1980,429
248.33,13,5,Suburb,2017,520
261.71,8,4,Suburb,2023,272
296.08,3,4,City,1965,171
294.22,3,5,City,2008,195
134.06,9,2,City,1996,495
163.04,10,1,City,1969,510
258.73,5,2,City,2015,305
258.64,6,5,Suburb,2004,282
258.73,10,4,Suburb,2023,350
478.45,7,5,Suburb,1975,350
262.36,13,5,City,1969,871
299.52,2,2,City,1980,112
287.63,1,4,City,1971,55
267.65,5,2,City,1972,300
204.01,12,3,Suburb,1969,444
274.81,6,5,Suburb,1972,270
173.91,11,2,City,1993,572
209.22,6,4,Suburb,2018,300
192.87,13,4,City,2008,910
230.21,2,5,City,1965,140
377.19,8,3,City,1971,536
101.82,1,3,Suburb,1988,42
269.98,3,3,Suburb,1985,90
118.64,7,4,Suburb,1975,245
193.7,1,1,City,2012,52
296.45,3,3,City,1978,159
229.01,8,4,City,2006,416
153.85,1,3,Suburb,1991,43
177.72,9,2,City,2020,585
269.51,4,5,City,1964,224
176.7,11,4,Suburb,2018,374
239.04,14,5,City,1961,882
227.8,11,4,Suburb,1961,396
181.9,7,5,Suburb,1962,301
365.94,13,4,City,2002,702
266.54,7,2,City,1964,455
91.42,11,2,City,2009,605
237.09,14,4,City,1969,854
181.25,7,1,Suburb,1986,217
280.94,5,2,Suburb,1983,155
172.61,7,2,Suburb,1981,280
217.21,6,3,Suburb,1962,246
258.08,12,1,Suburb,1975,408
281.77,9,1,Suburb,1989,306
145.76,13,4,Suburb,2002,429
202.81,13,4,City,1963,754
193.52,10,5,City,1999,700
181.81,14,1,City,1975,980
341.05,13,2,City,1975,767
251.49,1,5,City,2014,61
141.77,6,4,City,1979,396
285.21,2,1,Suburb,2010,96
364.55,2,2,City,2016,128
292.74,4,3,City,2010,276
124.77,3,1,Suburb,1977,90
192.87,12,1,Suburb,2018,504
308.25,13,3,City,1987,871
178.19,2,5,Suburb,1987,70
254,8,3,City,1972,552
275.83,1,2,Suburb,1965,43
163.79,7,5,City,1988,385
220.83,11,1,City,1968,583
46.45,9,3,City,1988,468
157.38,13,5,Suburb,1997,624
208.2,9,3,Suburb,2024,270
142.61,10,5,City,2015,650
332.31,1,3,Suburb,1989,44
130.62,9,1,Suburb,2018,306
195.84,14,5,City,2017,882
233.37,12,3,City,1969,612
319.68,6,5,Suburb,1980,198
130.25,8,4,Suburb,2015,256
301.38,6,4,City,1985,306
225.48,11,1,Suburb,1974,495
160.16,7,2,Suburb,1994,329
255.2,3,4,Suburb,1974,132
237.92,14,3,City,1965,882
185.25,14,5,Suburb,1987,672
229.38,10,5,Suburb,2022,330
199.37,6,3,City,1988,384
232.26,3,5,Suburb,2007,102
268.4,8,4,City,2022,560
329.25,2,3,City,2017,108
143.26,2,2,City,1980,138
365.2,10,3,City,1981,580
96.25,10,5,City,1986,570
214.79,1,2,City,2016,64
263.57,5,4,Suburb,1969,180
243.31,8,1,City,1981,480
183.76,9,1,Suburb,2003,423
211.08,3,4,City,1987,201
192.31,9,1,City,2009,522
185.99,11,1,Suburb,2010,330
280.75,10,2,City,1960,510
248.33,13,1,City,1993,910
179.12,14,5,City,1994,938
284,8,4,City,2020,480
244.99,2,1,Suburb,1989,80
278.34,5,2,City,1999,325
266.26,13,5,City,2024,767
170.2,11,4,City,1996,693
187.94,3,1,Suburb,2023,147
273.97,14,3,City,1960,728
264.96,10,5,City,1974,630
223.43,5,4,Suburb,1972,175
232.54,13,3,City,1988,767
308.9,11,3,Suburb,2014,429
185.81,13,4,Suburb,2004,546
260.78,6,3,Suburb,1963,210
211.45,11,2,Suburb,2023,418
210.43,6,1,Suburb,1974,258
297.1,6,4,City,2007,372
279.17,3,4,City,2015,195
278.34,4,4,Suburb,1974,188
310.76,2,1,City,1998,104
226.13,5,1,City,2019,260
269.7,9,3,Suburb,2003,351
204.39,2,3,Suburb,2002,64
246.1,7,1,City,1963,476
216.19,1,3,City,2009,51
231.14,13,4,Suburb,1998,481
263.94,9,3,City,2013,576
170.94,2,2,Suburb,1982,98
362.6,14,1,Suburb,2019,700
158.59,2,2,Suburb,1994,60
144.84,8,4,City,2013,560
301.01,7,5,Suburb,2017,336
276.94,7,1,Suburb,2021,273
265.89,12,5,Suburb,2007,396
266.17,4,5,Suburb,1966,140
223.99,7,4,Suburb,2004,329
165.74,13,3,City,1972,754
229.75,4,2,City,2012,224
180.23,12,5,City,1998,732
289.02,10,1,Suburb,1977,310
215.07,4,3,City,1981,248
170.38,4,1,Suburb,1995,168
203.64,9,4,City,2012,540
251.95,1,2,City,1962,61
187.66,3,1,Suburb,2021,138
170.66,2,5,City,1988,116
240.8,2,1,City,1967,110
240.9,12,4,City,2005,648
191.38,6,1,Suburb,2015,186
193.8,4,4,City,2008,272
240.06,5,4,Suburb,2002,195
129.41,14,3,Suburb,1969,658
132.11,9,3,Suburb,1972,333
177.44,9,4,City,2016,567
210.7,1,3,City,1961,64
245.26,12,4,Suburb,2024,408
321.91,9,3,Suburb,2001,315
281.22,8,3,City,2017,544
214.23,13,3,City,1969,897
223.52,11,5,City,2022,726
158.77,12,4,City,2020,636
223.52,13,2,Suburb,1960,624
205.78,12,3,City,1985,804
246.01,5,3,Suburb,1964,160
170.29,6,1,Suburb,1994,282
259.01,12,3,City,1972,612
325.72,3,5,City,1986,159
217.67,13,1,City,1971,832
251.21,5,4,City,2009,285
270.25,8,3,City,2018,512
198.35,1,4,City,1990,60
239.5,8,2,City,1996,464
225.66,3,5,Suburb,1961,114
231.24,9,5,Suburb,2024,324
173.91,2,5,City,1962,140
226.4,7,3,Suburb,1979,231
257.62,12,5,Suburb,1961,504
320.33,13,3,City,2001,819
288,8,2,Suburb,2002,376
366.6,6,5,City,1980,306
174.29,8,5,City,2004,512
282.24,8,5,Suburb,1979,248
236.9,5,3,City,2002,265
369.01,10,2,City,2009,610
171.59,1,4,City,2002,54
169.46,14,5,Suburb,1983,700
185.34,6,4,Suburb,2019,294
84.91,10,4,City,1991,510
190.17,11,3,City,1964,748
174.84,7,2,Suburb,1961,336
234.67,14,2,Suburb,1985,672
247.31,3,2,City,1984,207
348.29,5,3,Suburb,2009,175
287.35,8,4,City,1998,400
186.83,12,5,Suburb,1970,432
165.65,7,4,Suburb,2022,294
257.16,12,1,Suburb,1977,552
137.87,3,4,Suburb,1987,141
345.41,5,3,City,2001,295
302.49,11,5,City,2019,693
193.89,10,5,Suburb,1981,500
111.95,7,2,City,1999,420
313.92,10,5,City,2021,600
217.21,13,2,Suburb,1962,429
306.3,10,4,Suburb,2022,490
119.75,14,1,City,1979,784
185.34,12,2,Suburb,1985,480
225.1,3,2,City,2000,180
227.89,5,2,Suburb,1962,165
195.19,5,5,City,2002,340
265.8,10,5,Suburb,1976,370
154.5,9,4,Suburb,2012,288
215.44,2,3,City,2011,120
232.72,1,1,Suburb,1992,34
258.64,3,4,City,2019,159
271.65,8,2,City,2015,520
150.69,7,1,Suburb,2023,273
123.75,8,5,Suburb,1967,296
308.9,2,3,Suburb,1992,90
246.66,12,1,Suburb,1984,444
175.49,2,1,City,1966,136
326.93,14,4,City,2018,966
232.44,8,4,Suburb,1992,320
302.4,6,2,City,2000,396
229.19,2,4,Suburb,1992,90
360.46,5,5,City,1988,255
340.4,5,5,Suburb,1998,155
208.38,12,5,Suburb,2016,384
288.74,9,4,City,2023,486
267.28,11,4,Suburb,1968,517
314.94,8,1,City,1988,488
161.28,10,5,Suburb,1987,340
269.98,6,2,City,2012,408
294.5,9,2,City,2005,450
108.98,4,2,City,1998,216
146.88,13,1,City,2017,754
90.49,10,5,Suburb,2013,310
207.08,13,3,Suburb,1965,468
272.02,2,1,Suburb,2004,100
323.67,9,1,City,1999,621
229.66,9,2,Suburb,1982,342
332.04,2,4,Suburb,2001,78
133.87,10,2,Suburb,1997,350
112.6,7,3,Suburb,1975,273
221.11,13,5,City,2006,910
250.09,10,2,Suburb,1980,360
222.6,2,4,Suburb,1980,100
88.63,6,5,City,1984,396
218.88,12,1,Suburb,2020,564
138.89,4,1,City,2013,240
268.86,4,3,Suburb,2019,176
248.89,9,3,City,2001,621
162.86,8,2,City,2020,488
190.92,7,2,Suburb,1991,238
155.06,13,1,Suburb,2012,416
220.64,9,1,Suburb,2003,342
287.72,11,1,Suburb,1970,473
159.89,7,4,Suburb,2006,301
257.99,7,5,Suburb,2019,245
189.89,6,4,City,1995,348
172.61,13,3,City,2019,793
217.76,11,5,City,1992,605
156.63,2,4,City,2001,136
188.31,5,2,Suburb,1972,235
145.95,13,5,City,1973,793
354.15,5,2,City,2017,300
227.15,1,3,City,1999,54
178.75,6,5,Suburb,2024,204
238.85,9,3,Suburb,1964,306
217.39,9,3,Suburb,1989,279
210.24,14,4,City,2004,910
265.24,2,4,Suburb,2017,60
274.71,8,1,City,1998,456
189.89,1,5,City,1971,54
186.83,1,2,City,1993,60
206.71,1,4,Suburb,1973,39
73.21,13,4,Suburb,1997,429
125.05,9,5,Suburb,1975,279
314.76,13,2,City,2020,663
333.15,8,3,Suburb,2018,288
208.38,6,4,Suburb,1970,240
262.73,1,1,Suburb,1970,43
245.26,5,2,City,1975,290
427.54,2,4,City,1997,128
298.5,13,3,City,1989,650
216.37,7,1,City,2000,371
161.84,3,4,Suburb,1960,150
119.01,10,1,Suburb,1997,450
238.2,13,2,City,2019,806
175.03,11,2,Suburb,1978,539
131.18,7,5,City,2018,413
182.18,10,3,Suburb,1969,450
153.57,7,5,Suburb,1976,350
335.84,5,2,Suburb,1988,250
282.8,12,3,City,1965,780
224.27,10,3,Suburb,2022,430
322.28,2,4,Suburb,1990,68
229.84,8,2,Suburb,1984,336
168.06,7,3,Suburb,1980,280
325.07,6,3,City,1975,372
260.31,12,3,City,1963,780
156.45,8,3,City,2005,432
212.28,12,4,Suburb,1967,372
167.13,5,3,Suburb,1965,155
133.69,2,1,Suburb,2012,98
285.77,12,4,City,2023,792
350.52,13,1,City,2010,884
132.67,10,4,Suburb,2022,380
261.89,14,2,City,1965,938
181.9,14,4,City,2021,854
192.68,10,4,Suburb,1992,380
185.81,12,3,City,1961,792
167.88,7,4,Suburb,2000,294
227.98,13,5,City,1975,871
170.11,13,4,City,2018,806
242.57,11,5,City,1968,561
221.48,9,3,City,1969,549
209.03,10,3,Suburb,1966,480
165,8,5,Suburb,1979,320
186.83,11,1,City,2022,770
274.53,9,1,Suburb,1963,378
257.81,7,3,City,1987,476
160.44,14,1,Suburb,1994,504
231.33,7,2,City,1961,385
274.25,1,5,Suburb,2000,43
114.83,8,5,City,1987,520
260.59,11,4,City,1960,759
181.16,13,1,Suburb,1986,390
262.36,9,3,City,1998,549
174.56,14,3,City,1999,924
105.91,4,5,City,1987,256
117.62,5,1,City,1983,340
227.98,11,4,Suburb,2010,396
241.92,12,3,Suburb,2015,420
165.27,5,4,City,1985,280
266.82,10,2,City,2011,680
115.39,2,1,Suburb,1965,78
220.46,10,4,Suburb,2018,310
145.02,13,2,City,1971,884
181.9,9,1,City,2022,549
227.89,5,4,Suburb,1995,215
168.15,5,1,City,1968,260
199.46,1,1,Suburb,1988,36
291.07,7,4,Suburb,1967,231
186.83,14,2,Suburb,2002,532
279.82,7,4,City,1994,455
150.41,13,1,Suburb,1981,416
259.66,13,1,Suburb,1980,572
319.68,5,1,City,2000,310
62.06,7,4,Suburb,2000,287
172.34,13,4,Suburb,2008,624
262.82,6,5,Suburb,1963,282
211.45,5,1,Suburb,2024,230
249.26,7,5,Suburb,1969,336
185.06,12,5,Suburb,1969,480
230.49,11,5,City,1976,594
214.51,5,5,City,2012,350
301.66,6,3,City,1994,366
241.55,2,5,Suburb,1963,76
247.03,1,1,Suburb,1970,37
197.7,12,2,Suburb,2003,552
192.68,5,4,City,2019,265
196.3,13,3,City,2021,793
250.75,6,3,Suburb,1991,204
197.05,13,5,City,2005,897
243.87,1,4,City,1982,69
361.49,4,2,Suburb,1996,172
282.15,11,5,City,2017,759
203.36,6,1,City,2002,366
303.89,6,2,City,1974,360
197.88,12,5,City,1961,600
90.58,7,1,Suburb,1964,322
158.4,9,5,Suburb,2012,324
101.64,12,1,City,2004,672
201.6,11,4,City,2000,550
226.03,4,5,City,2022,248
335.19,9,4,City,1991,450
246.29,9,1,Suburb,1961,387
210.33,14,1,Suburb,1969,686
279.36,4,1,City,2002,248
79.15,3,3,City,2002,183
240.34,2,2,City,1982,132
275.55,13,5,City,2019,910
127.46,5,1,Suburb,1965,240
300.08,3,2,City,1972,171
247.12,3,3,City,1980,165
197.42,3,2,Suburb,2017,126
266.45,3,5,City,1987,177
374.31,11,5,Suburb,1967,330
236.81,14,2,Suburb,2017,434
241.18,2,5,City,1999,124
194.54,11,1,Suburb,1960,506
168.8,2,1,City,2024,124
279.45,5,5,City,1969,255
168.43,13,3,Suburb,2019,624
229.47,8,4,Suburb,1979,336
193.33,4,2,Suburb,2021,148
256.32,14,2,City,1972,868
246.75,13,1,City,2017,910
293.11,13,3,City,1996,793
191.19,5,2,City,1969,250
206.99,9,1,City,1962,450
160.35,6,3,Suburb,1993,228
195.56,6,2,Suburb,1993,222
249.63,8,2,Suburb,1989,368
274.62,9,1,City,1996,468
164.07,10,3,City,1993,520
282.05,8,4,City,1991,456
314.01,7,1,City,2017,385
252.05,3,1,City,1983,177
348.39,4,5,Suburb,1968,184
173.82,1,3,City,2000,62
142.79,7,5,Suburb,1983,322
107.67,6,5,City,1984,402
323.3,4,1,Suburb,1995,136
267.84,1,5,City,1967,55
221.11,9,3,City,2018,576
243.22,9,2,Suburb,1994,432
150.69,8,1,City,1997,472
385.83,10,2,City,1991,530
233.28,3,2,City,2010,153
231.98,2,4,Suburb,1987,62
272.58,7,1,Suburb,2015,259
256.51,3,1,City,1967,186
239.5,9,3,Suburb,2000,432
172.71,3,1,Suburb,1982,108
255.85,14,3,Suburb,2013,700
348.76,9,4,Suburb,1982,297
313.36,12,5,Suburb,1991,432
329.71,6,5,City,1969,396
191.1,3,2,City,1994,153
159.61,11,2,City,2022,605
216.46,3,5,Suburb,1995,126
228.45,2,3,Suburb,2008,86
296.83,12,2,Suburb,2005,540
113.34,11,1,City,1986,748
325.53,1,5,City,1990,62
214.42,1,5,City,1993,50
196.68,1,5,City,2018,64
158.12,5,4,City,2013,275
115.85,2,1,City,1989,120
278.99,14,3,City,1982,910
229.66,8,2,City,1968,544
139.82,3,3,Suburb,2014,147
139.54,12,4,Suburb,1960,492
202.71,11,4,Suburb,2015,396
334.73,13,5,City,1998,754
207.73,2,3,City,1977,114
125.79,6,2,City,2001,360
208.57,2,1,Suburb,2024,96
206.8,3,3,City,1992,204
47.19,12,1,Suburb,1989,576
221.2,3,2,Suburb,1964,141
209.59,11,1,City,2009,693
270.63,11,1,Suburb,2024,528
346.53,12,5,City,1969,768
298.96,10,5,Suburb,2019,470
207.08,12,2,City,1986,840
151.9,4,1,City,1987,268
394.28,1,2,City,2004,50
228.73,9,2,Suburb,2011,288
225.66,11,3,City,2021,561
223.25,10,5,City,2019,530
237.83,9,5,City,1999,621
215.26,12,1,City,1974,612
187.01,8,2,City,1966,448
188.78,3,5,Suburb,1998,96
222.6,3,4,Suburb,2010,135
188.96,8,1,Suburb,1966,248
177.82,9,5,City,1971,495
231.79,2,3,City,1973,106
208.01,8,5,City,1993,496
323.86,12,1,Suburb,1998,576
50.26,9,2,Suburb,2023,405
296.64,9,1,City,1971,567
306.86,1,4,Suburb,1993,40
88.26,10,3,Suburb,1986,450
202.25,4,5,City,1981,232
200.3,4,3,Suburb,1977,128
132.11,1,3,City,2005,54
173.54,7,1,Suburb,2003,329
151.62,6,5,Suburb,1977,180
340.21,5,2,Suburb,1996,195
286.42,8,2,City,1966,496
308.53,11,2,Suburb,2019,352
272.3,10,2,City,2007,560
150.41,9,3,Suburb,2010,288
190.27,10,1,City,2011,630
256.97,11,2,City,2011,682
144.28,4,5,City,2013,256
271.74,11,2,Suburb,2000,451
208.94,10,3,City,2001,600
200.11,10,4,Suburb,1981,330
271.65,3,4,City,1998,201
254,3,3,City,1982,153
201.04,6,4,City,2007,378
301.1,12,5,City,1992,744
153.57,10,2,Suburb,2000,400
265.33,4,5,Suburb,1989,180
263.84,10,4,City,2006,540
204.39,2,4,Suburb,2016,94
246.29,4,1,Suburb,2016,172
142.42,5,5,City,2021,265
285.68,12,1,Suburb,2016,432
212.65,13,5,Suburb,1984,455
190.36,2,3,City,1999,132
293.85,6,4,Suburb,1976,186
178.37,14,3,City,2007,756
132.02,10,5,Suburb,1998,500
122.26,3,5,City,1974,180
264.68,1,5,Suburb,1976,46
140.47,9,4,Suburb,1994,288
340.3,5,1,Suburb,1992,180
87.7,6,2,Suburb,1977,198
336.49,1,2,Suburb,1989,33
238.67,4,3,City,1996,268
218.41,4,5,Suburb,1966,172
188.87,4,4,City,1987,232
251.12,2,4,City,1977,140
222.32,2,5,Suburb,2006,80
297.48,13,1,City,1982,858
232.35,1,4,Suburb,1979,42
234.67,2,3,Suburb,1990,74
200.86,6,5,Suburb,1973,270
221.02,2,1,Suburb,1982,96
245.08,7,3,City,1961,364
112.13,6,3,Suburb,1988,258
136.01,5,3,Suburb,2009,200
273.69,10,4,Suburb,2018,440
236.07,13,2,City,1992,793
212.65,8,5,City,2007,456
226.03,11,2,City,2003,715
247.68,8,1,City,1971,504
189.24,8,4,Suburb,2001,352
173.54,1,4,City,1994,62
237.65,1,4,City,2000,51
160.35,2,1,City,2014,128
251.67,3,5,City,1972,153
112.69,11,1,Suburb,1998,363
292.55,13,1,Suburb,1994,442
255.95,11,2,City,1992,594
241.64,9,1,City,1995,630
289.49,12,5,Suburb,1972,588
334.45,10,5,Suburb,2015,300
291.62,2,4,Suburb,2005,64
103.59,13,4,Suburb,2005,572
140.56,8,3,City,2003,480
183.67,2,5,City,2005,118
226.5,13,5,Suburb,1990,494
258.92,10,2,City,1983,700
176.98,3,3,City,1991,204
237.09,14,3,City,1975,910
175.03,14,4,Suburb,2016,532
184.51,12,3,Suburb,1983,420
132.2,3,2,Suburb,1993,120
163.97,14,4,Suburb,2011,644
135.82,4,2,City,2007,200
160.54,9,3,Suburb,2012,378
294.13,13,3,Suburb,2014,572
162.3,6,5,City,1997,402
398.09,14,2,Suburb,1961,588
257.25,13,5,City,2012,650
237,1,1,Suburb,2009,42
168.25,1,4,City,1988,60
270.91,13,5,City,2014,715
186.92,1,1,City,2020,67
232.81,4,3,City,2009,276
393.35,12,4,Suburb,1975,492
218.51,3,1,City,2003,207
300.45,3,1,City,1975,198
178.47,12,1,Suburb,1987,564
222.5,11,3,City,2016,759
341.42,9,3,City,1985,630
183.48,10,3,Suburb,1970,390
344.11,4,3,Suburb,1960,184
271.37,6,3,Suburb,2002,300
187.76,12,5,City,2005,744
266.45,7,2,City,1995,371
288.84,13,4,Suburb,2016,611
265.7,8,4,Suburb,1965,376
121.42,9,1,Suburb,2021,450
176.89,5,5,City,1986,255
208.47,10,2,City,1985,500
219.9,9,1,Suburb,1972,324
265.7,1,3,City,1977,64
236.53,13,5,City,1997,832
136.85,5,3,City,1965,300
249.82,11,4,Suburb,1987,528
264.96,8,4,Suburb,1964,376
261.61,5,2,City,2018,250
295.99,9,1,Suburb,2004,324
279.73,1,2,City,2012,67
255.02,2,1,City,1961,122
220.18,9,4,Suburb,2008,279
115.39,14,2,Suburb,2022,420
253.07,7,3,Suburb,2017,238
238.48,10,5,City,1963,660
242.66,4,5,Suburb,1989,120
140.75,5,3,City,2016,350
153.57,7,5,City,2006,399
294.13,10,2,City,1977,570
222.22,13,1,City,2003,754
269.7,9,1,City,2011,522
226.68,1,1,Suburb,2008,50
226.78,14,4,City,1989,854
286.61,4,2,City,2011,224
190.82,6,4,Suburb,1996,186
231.14,7,3,City,2022,392
194.35,8,4,Suburb,1971,360
196.21,3,3,City,1976,180
204.39,1,1,Suburb,1993,36
239.41,4,1,Suburb,1987,136
193.24,9,3,Suburb,1963,297
307.51,12,3,Suburb,2005,468
165.92,2,2,Suburb,1973,96
212.47,1,1,City,1972,57
195.84,13,3,Suburb,2017,624
320.05,6,3,Suburb,2008,204
237.74,1,3,Suburb,2009,49
292.74,7,3,City,1980,350
127,13,1,Suburb,2010,416
242.38,14,1,City,1997,910
283.35,3,4,City,1985,207
230.21,2,1,Suburb,1965,62
294.97,8,1,City,1977,536
190.73,7,1,City,1965,469
317.64,6,3,City,2000,420
376.16,6,1,City,2016,318
200.86,2,4,City,2009,102
195.47,9,5,Suburb,1984,432
320.52,12,2,City,2007,732
328.78,9,3,City,1983,540
190.36,11,3,City,1989,572
197.14,6,1,City,2004,384
206.24,6,1,City,2002,402
136.29,11,3,Suburb,2015,517
164.25,5,1,City,1992,310
158.68,2,2,City,2004,118
174.19,4,2,City,1966,260
222.5,2,3,Suburb,1977,66
240.25,2,4,Suburb,2004,92
326.93,14,3,Suburb,1996,490
159.05,3,2,City,1980,204
289.58,1,5,City,2003,70
210.7,12,5,City,1989,732
221.57,7,5,City,1970,413
269.23,3,4,City,1967,156
150.87,14,5,City,1964,882
250,9,3,City,1967,486
235.79,13,5,City,1964,819
257.25,1,5,City,1969,62
243.87,12,2,City,1974,816
386.48,6,1,City,2015,408
182.83,14,4,Suburb,2014,630
